Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtExposure,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,Fence,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,TotalSF,HouseAge,RemodelAge,TotalBath
14,20,RL,91,10652,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,306,2,TA,PConc,2,Av,0,0,1494,1494,GasA,Ex,Y,SBrkr,1494,0,0,1494,0,0,2,0,3,1,2,7,Typ,1,Gd,Attchd,2006,RFn,3,840,5,TA,Y,160,33,0,0,0,0,Not indicated,0,8,2007,New,Partial,279500,2988,1,0,2.0
15,20,RL,70,10920,Pave,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,MetalSd,MetalSd,BrkFace,212,3,TA,CBlock,4,No,733,0,520,1253,GasA,TA,Y,SBrkr,1253,0,0,1253,1,0,1,1,2,1,3,5,Typ,1,Fa,Attchd,1960,RFn,1,352,5,TA,Y,0,213,176,0,0,0,GdWo,0,5,2008,WD,Normal,157000,2506,48,48,2.5
16,45,RM,51,6120,Pave,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,0,3,TA,BrkTil,4,No,0,0,832,832,GasA,Ex,Y,FuseA,854,0,0,854,0,0,1,0,2,1,3,5,Typ,0,Gd,Detchd,1991,Unf,2,576,5,TA,Y,48,112,0,0,0,0,GdPrv,0,7,2007,WD,Normal,132000,1686,78,6,1.0
17,20,RL,70,11241,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180,3,TA,CBlock,4,No,578,0,426,1004,GasA,Ex,Y,SBrkr,1004,0,0,1004,1,0,1,0,2,1,3,5,Typ,1,TA,Attchd,1970,Fin,2,480,5,TA,Y,0,0,0,0,0,0,Not indicated,700,3,2010,WD,Normal,149000,2008,40,40,2.0
18,90,RL,72,10791,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4,5,1967,1967,Gable,CompShg,MetalSd,MetalSd,BrkFace,0,3,TA,Slab,3,Not indicated,0,0,0,0,GasA,TA,Y,SBrkr,1296,0,0,1296,0,0,2,0,2,2,3,6,Typ,0,Gd,CarPort,1967,Unf,2,516,5,TA,Y,0,0,0,0,0,0,Not indicated,500,10,2006,WD,Normal,90000,1296,39,39,2.0
19,20,RL,66,13695,Pave,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,0,3,TA,PConc,4,No,646,0,468,1114,GasA,Ex,Y,SBrkr,1114,0,0,1114,1,0,1,1,3,1,2,6,Typ,0,Gd,Detchd,2004,Unf,2,576,5,TA,Y,0,102,0,0,0,0,Not indicated,0,6,2008,WD,Normal,159000,2228,4,4,2.5
20,20,RL,70,7560,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1958,1965,Hip,CompShg,BrkFace,Plywood,BrkFace,0,3,TA,CBlock,4,No,504,0,525,1029,GasA,TA,Y,SBrkr,1339,0,0,1339,0,0,1,0,3,1,3,6,Min1,0,Gd,Attchd,1958,Unf,1,294,5,TA,Y,0,0,0,0,0,0,MnPrv,0,5,2009,COD,Abnorml,139000,2368,51,44,1.0
21,60,RL,101,14215,Pave,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,380,2,TA,PConc,0,Av,0,0,1158,1158,GasA,Ex,Y,SBrkr,1158,1218,0,2376,0,0,3,1,4,1,2,9,Typ,1,Gd,BuiltIn,2005,RFn,3,853,5,TA,Y,240,154,0,0,0,0,Not indicated,0,11,2006,New,Partial,325300,3534,1,0,3.5
22,45,RM,57,7449,Pave,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,0,3,TA,PConc,4,No,0,0,637,637,GasA,Ex,Y,FuseF,1108,0,0,1108,0,0,1,0,3,1,2,6,Typ,1,Gd,Attchd,1930,Unf,1,280,5,TA,N,0,0,205,0,0,0,GdPrv,0,6,2007,WD,Normal,139400,1745,77,57,1.0
23,20,RL,75,9742,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,281,2,TA,PConc,2,No,0,0,1777,1777,GasA,Ex,Y,SBrkr,1795,0,0,1795,0,0,2,0,3,1,2,7,Typ,1,Gd,Attchd,2002,RFn,2,534,5,TA,Y,171,159,0,0,0,0,Not indicated,0,9,2008,WD,Normal,230000,3572,6,6,2.0
24,120,RM,44,4224,Pave,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,CompShg,CemntBd,CmentBd,BrkFace,0,3,TA,PConc,2,No,840,0,200,1040,GasA,TA,Y,SBrkr,1060,0,0,1060,1,0,1,0,3,1,3,6,Typ,1,TA,Attchd,1976,Unf,2,572,5,TA,Y,100,110,0,0,0,0,Not indicated,0,6,2007,WD,Normal,129900,2100,31,31,2.0
25,20,RL,70,8246,Pave,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,8,1968,2001,Gable,CompShg,Plywood,Plywood,BrkFace,0,3,Gd,CBlock,4,Mn,188,668,204,1060,GasA,Ex,Y,SBrkr,1060,0,0,1060,1,0,1,0,3,1,2,6,Typ,1,TA,Attchd,1968,Unf,1,270,5,TA,Y,406,90,0,0,0,0,MnPrv,0,5,2010,WD,Normal,154000,2120,42,9,2.0
26,20,RL,110,14230,Pave,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,640,2,TA,PConc,2,No,0,0,1566,1566,GasA,Ex,Y,SBrkr,1600,0,0,1600,0,0,2,0,3,1,2,7,Typ,1,Gd,Attchd,2007,RFn,3,890,5,TA,Y,0,56,0,0,0,0,Not indicated,0,7,2009,WD,Normal,256300,3166,2,2,2.0
27,20,RL,60,7200,Pave,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,0,3,TA,CBlock,4,Mn,234,486,180,900,GasA,TA,Y,SBrkr,900,0,0,900,0,1,1,0,3,1,2,5,Typ,0,Gd,Detchd,2005,Unf,2,576,5,TA,Y,222,32,0,0,0,0,Not indicated,0,5,2010,WD,Normal,134800,1800,59,10,1.5
28,20,RL,98,11478,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,200,2,TA,PConc,0,No,1218,0,486,1704,GasA,Ex,Y,SBrkr,1704,0,0,1704,1,0,2,0,3,1,2,7,Typ,1,Gd,Attchd,2008,RFn,3,772,5,TA,Y,0,50,0,0,0,0,Not indicated,0,5,2010,WD,Normal,306000,3408,3,2,3.0
29,20,RL,47,16321,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,1997,Gable,CompShg,MetalSd,MetalSd,BrkFace,0,3,TA,CBlock,4,Gd,1277,0,207,1484,GasA,TA,Y,SBrkr,1600,0,0,1600,1,0,1,0,2,1,3,6,Typ,2,Gd,Attchd,1957,RFn,1,319,5,TA,Y,288,258,0,0,0,0,Not indicated,0,12,2006,WD,Normal,207500,3084,49,9,2.0
30,30,RM,60,6324,Pave,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,1927,1950,Gable,CompShg,MetalSd,MetalSd,BrkFace,0,3,TA,BrkTil,4,No,0,0,520,520,GasA,Fa,N,SBrkr,520,0,0,520,0,0,1,0,1,1,1,4,Typ,0,Gd,Detchd,1920,Unf,1,240,1,TA,Y,49,0,87,0,0,0,Not indicated,0,5,2008,WD,Normal,68500,1040,81,58,1.0
31,70,C (all),50,8500,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,1920,1950,Gambrel,CompShg,BrkFace,BrkFace,BrkFace,0,3,Fa,BrkTil,4,No,0,0,649,649,GasA,TA,N,SBrkr,649,668,0,1317,0,0,1,0,3,1,3,6,Typ,0,Gd,Detchd,1920,Unf,1,250,5,Fa,N,0,54,172,0,0,0,MnPrv,0,7,2008,WD,Normal,40000,1966,88,58,1.0
32,20,RL,70,8544,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1966,2006,Gable,CompShg,HdBoard,HdBoard,BrkFace,0,3,TA,CBlock,4,No,0,0,1228,1228,GasA,Gd,Y,SBrkr,1228,0,0,1228,0,0,1,1,3,1,2,6,Typ,0,Gd,Attchd,1966,Unf,1,271,5,TA,Y,0,65,0,0,0,0,MnPrv,0,6,2008,WD,Normal,149350,2456,42,2,1.5
33,20,RL,85,11049,Pave,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,BrkFace,0,2,TA,PConc,0,Av,0,0,1234,1234,GasA,Ex,Y,SBrkr,1234,0,0,1234,0,0,2,0,3,1,2,7,Typ,0,Gd,Attchd,2007,RFn,2,484,5,TA,Y,0,30,0,0,0,0,Not indicated,0,1,2008,WD,Normal,179900,2468,1,1,2.0
34,20,RL,70,10552,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,BrkFace,BrkFace,BrkFace,0,3,TA,CBlock,4,No,1018,0,380,1398,GasA,Gd,Y,SBrkr,1700,0,0,1700,0,1,1,1,4,1,2,6,Typ,1,Gd,Attchd,1959,RFn,2,447,5,TA,Y,0,38,0,0,0,0,Not indicated,0,4,2010,WD,Normal,165500,3098,51,51,2.0
35,120,RL,60,7313,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,246,0,TA,PConc,0,No,1153,0,408,1561,GasA,Ex,Y,SBrkr,1561,0,0,1561,1,0,2,0,2,1,0,6,Typ,1,Gd,Attchd,2005,Fin,2,556,5,TA,Y,203,47,0,0,0,0,Not indicated,0,8,2007,WD,Normal,277500,3122,2,2,3.0
36,60,RL,108,13418,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,132,2,TA,PConc,0,Av,0,0,1117,1117,GasA,Ex,Y,SBrkr,1132,1320,0,2452,0,0,3,1,4,1,2,9,Typ,1,Gd,BuiltIn,2004,Fin,3,691,5,TA,Y,113,32,0,0,0,0,Not indicated,0,9,2006,WD,Normal,309000,3569,2,1,3.5
37,20,RL,112,10859,Pave,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,BrkFace,0,3,TA,PConc,2,No,0,0,1097,1097,GasA,Ex,Y,SBrkr,1097,0,0,1097,0,0,1,1,3,1,3,6,Typ,0,Gd,Attchd,1995,Unf,2,672,5,TA,Y,392,64,0,0,0,0,Not indicated,0,6,2009,WD,Normal,145000,2194,15,14,1.5
38,20,RL,74,8532,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1954,1990,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,650,3,TA,CBlock,4,No,1213,0,84,1297,GasA,Gd,Y,SBrkr,1297,0,0,1297,0,1,1,0,3,1,3,5,Typ,1,TA,Attchd,1954,Fin,2,498,5,TA,Y,0,0,0,0,0,0,Not indicated,0,10,2009,WD,Normal,153000,2594,55,19,1.5
39,20,RL,68,7922,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,BrkFace,0,3,Gd,CBlock,4,No,731,0,326,1057,GasA,TA,Y,SBrkr,1057,0,0,1057,1,0,1,0,3,1,2,5,Typ,0,Gd,Detchd,1953,Unf,1,246,5,TA,Y,0,52,0,0,0,0,Not indicated,0,1,2010,WD,Abnorml,109000,2114,57,3,2.0
40,90,RL,65,6040,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,4,5,1955,1955,Gable,CompShg,AsbShng,Plywood,BrkFace,0,3,TA,PConc,3,Not indicated,0,0,0,0,GasA,TA,N,FuseP,1152,0,0,1152,0,0,2,0,2,2,1,6,Typ,0,Gd,Not indicated,1978,Not indicated,0,0,3,Not indicated,N,0,0,0,0,0,0,Not indicated,0,6,2008,WD,AdjLand,82000,1152,53,53,2.0
41,20,RL,84,8658,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1965,1965,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,101,3,TA,CBlock,4,No,643,0,445,1088,GasA,Ex,Y,SBrkr,1324,0,0,1324,0,0,2,0,3,1,3,6,Typ,1,TA,Attchd,1965,RFn,2,440,5,TA,Y,0,138,0,0,0,0,GdWo,0,12,2006,WD,Abnorml,160000,2412,41,41,2.0
42,20,RL,115,16905,Pave,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,VinylSd,VinylSd,BrkFace,0,3,Gd,CBlock,4,Gd,967,0,383,1350,GasA,Gd,Y,SBrkr,1328,0,0,1328,0,1,1,1,2,1,3,5,Typ,2,Gd,Attchd,1959,RFn,1,308,5,TA,P,0,104,0,0,0,0,Not indicated,0,7,2007,WD,Normal,170000,2678,48,48,2.0
43,85,RL,70,9180,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,SFoyer,5,7,1983,1983,Gable,CompShg,HdBoard,HdBoard,BrkFace,0,3,TA,CBlock,2,Av,747,93,0,840,GasA,Gd,Y,SBrkr,884,0,0,884,1,0,1,0,2,1,2,5,Typ,0,Gd,Attchd,1983,RFn,2,504,5,Gd,Y,240,0,0,0,0,0,MnPrv,0,12,2007,WD,Normal,144000,1724,24,24,2.0
44,20,RL,70,9200,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,6,1975,1980,Hip,CompShg,VinylSd,VinylSd,BrkFace,0,3,TA,CBlock,2,Av,280,491,167,938,GasA,TA,Y,SBrkr,938,0,0,938,1,0,1,0,3,1,3,5,Typ,0,Gd,Detchd,1977,Unf,1,308,5,TA,Y,145,0,0,0,0,0,MnPrv,0,7,2008,WD,Normal,130250,1876,33,28,2.0
45,20,RL,70,7945,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,BrkFace,Wd Sdng,BrkFace,0,3,TA,CBlock,4,No,179,506,465,1150,GasA,Ex,Y,FuseA,1150,0,0,1150,1,0,1,0,3,1,3,6,Typ,0,Gd,Attchd,1959,RFn,1,300,5,TA,Y,0,0,0,0,0,0,Not indicated,0,5,2006,WD,Normal,141000,2300,47,47,2.0
46,120,RL,61,7658,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,412,0,TA,PConc,0,No,456,0,1296,1752,GasA,Ex,Y,SBrkr,1752,0,0,1752,1,0,2,0,2,1,0,6,Typ,1,Gd,Attchd,2005,RFn,2,576,5,TA,Y,196,82,0,0,0,0,Not indicated,0,2,2010,WD,Normal,319900,3504,5,5,3.0
47,50,RL,48,12822,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,0,2,TA,PConc,0,No,1351,0,83,1434,GasA,Ex,Y,SBrkr,1518,631,0,2149,1,0,1,1,1,1,2,6,Typ,1,Ex,Attchd,2003,RFn,2,670,5,TA,Y,168,43,0,0,198,0,Not indicated,0,8,2009,WD,Abnorml,239686,3583,6,6,2.5
48,20,FV,84,11096,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,0,2,TA,PConc,2,Av,24,0,1632,1656,GasA,Ex,Y,SBrkr,1656,0,0,1656,0,0,2,0,3,1,2,7,Typ,0,Gd,Attchd,2006,RFn,3,826,5,TA,Y,0,146,0,0,0,0,Not indicated,0,7,2007,WD,Normal,249700,3312,1,1,2.0
49,190,RM,33,4456,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,2fmCon,2Story,4,5,1920,2008,Gable,CompShg,MetalSd,MetalSd,BrkFace,0,3,TA,BrkTil,4,No,0,0,736,736,GasA,Gd,Y,SBrkr,736,716,0,1452,0,0,2,0,2,3,3,8,Typ,0,Gd,Not indicated,1978,Not indicated,0,0,3,Not indicated,N,0,0,102,0,0,0,Not indicated,0,6,2009,New,Partial,113000,2188,89,1,2.0
50,20,RL,66,7742,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,7,1966,1966,Gable,CompShg,HdBoard,HdBoard,BrkFace,0,3,TA,CBlock,4,No,763,0,192,955,GasA,Ex,Y,SBrkr,955,0,0,955,1,0,1,0,3,1,3,6,Typ,0,Gd,Attchd,1966,Unf,1,386,5,TA,Y,0,0,0,0,0,0,MnPrv,0,1,2007,WD,Normal,127000,1910,41,41,2.0
51,60,RL,70,13869,Pave,IR2,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,6,1997,1997,Gable,CompShg,VinylSd,VinylSd,BrkFace,0,3,TA,PConc,2,Av,182,0,612,794,GasA,Gd,Y,SBrkr,794,676,0,1470,0,1,2,0,3,1,3,6,Typ,0,Gd,Attchd,1997,Fin,2,388,5,TA,Y,0,75,0,0,0,0,Not indicated,0,7,2007,WD,Normal,177000,2264,10,10,2.5
52,50,RM,52,6240,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,6,6,1934,1950,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,0,3,TA,PConc,4,No,0,0,816,816,GasA,TA,Y,SBrkr,816,0,360,1176,0,0,1,0,3,1,3,6,Typ,1,Gd,Detchd,1985,Unf,2,528,5,TA,Y,112,0,0,0,0,0,MnPrv,400,9,2006,WD,Normal,114500,1632,72,56,1.0
